-9.125,0.635
-4.5,0.585
-0.25,0.573
4.25,0.56
9,0.573
13.5,0.66
18,0.747
22.5,0.859
27,1.021
31.5,1.195
36.5,1.369
40.75,1.568
45.25,1.855
49.75,2.066
54.25,2.315
58.75,2.502
63.5,2.689
67.75,2.888
72,3.062
77,3.174
80.75,3.311
85.75,3.423
90.5,3.498
94.75,3.485
98.875,3.411
